iso3,country_name,population_2018_thousands,mean_protein_pct_OPT,pct_inadequate_protein_OPT
,World,7575436,137.22,34.34
,East Asia & Pacific,2307038,151.68,27.89
,Europe & Central Asia,912942,147.16,24.85
,Latin America & Caribbean,624656,156.23,30.99
,Middle East & North Africa,460509,152.88,21.54
,North America,369802,139.45,27.5
,South Asia,1828298,105.26,51.83
,Sub-Saharan Africa,1072189,133.58,36.25
AFG,Afghanistan,35957,144.33,18.95
ALB,Albania,2861,130.25,34.17
DZA,Algeria,41899,161.37,12.55
AGO,Angola,30630,95.83,61.1
ATG,Antigua & Barbuda,90,136.7,30.85
ARG,Argentina,44152,156.76,21.73
ARM,Armenia,2871,201.35,6.85
AUS,Australia,25005,130.58,31.16
AUT,Austria,8776,118.1,38.59
AZE,Azerbaijan,9939,213.26,4.32
BHS,Bahamas,389,104.3,59.61
BHR,Bahrain,1472,164.35,14.08
BGD,Bangladesh,160973,110.4,45.15
BRB,Barbados,278,99.95,66.64
BLR,Belarus,9376,130.24,41.2
BEL,Belgium,11339,171.66,9.15
BLZ,Belize,375,132.84,37.97
BEN,Benin,12119,126.31,45.93
BTN,Bhutan,753,122.26,48
BOL,Bolivia,11338,107.72,60.04
BIH,Bosnia & Herzegovina,3338,139.75,27.07
BWA,Botswana,2258,184.64,9.3
BRA,Brazil,203931,198.34,11.35
BRN,Brunei,434,143.13,22.86
BGR,Bulgaria,6938,94.76,63.07
BFA,Burkina Faso,20003,219.04,0.2
BDI,Burundi,11642,117.09,38.24
KHM,Cambodia,16004,163.6,13.1
CMR,Cameroon,24278,175.74,6.82
CAN,Canada,37171,151.66,23
CPV,Cape Verde,504,156.59,10.33
CAF,Central African Republic,4728,185.18,3.75
TCD,Chad,15756,122.96,47.63
CHL,Chile,18840,146.74,22.04
CHN,China,1406343,150.12,28.77
COL,Colombia,48792,95.66,70.1
COM,Comoros,756,134.2,26.42
COG,Congo - Brazzaville,5376,170.36,8.46
COD,Congo - Kinshasa,87795,73.82,86.68
CRI,Costa Rica,4913,129.97,38.43
HRV,Croatia,3968,142.61,27.02
CUB,Cuba,11104,170.21,19.31
CYP,Cyprus,1265,117.84,37.64
CZE,Czechia,10439,84.25,73.31
CIV,Côte d’Ivoire,26907,165.75,9.48
DNK,Denmark,5745,157.14,13.03
DJI,Djibouti,1057,193.47,3.22
DMA,Dominica,67,104.21,61.5
DOM,Dominican Republic,10631,146.38,31.18
ECU,Ecuador,16910,47.23,94.74
EGY,Egypt,104191,146.05,16.73
SLV,El Salvador,6120,154.52,25.12
GNQ,Equatorial Guinea,1593,129.64,29.95
ERI,Eritrea,3128,154.35,11.32
EST,Estonia,1310,124.76,38.09
SWZ,Eswatini,1145,77.83,82.01
ETH,Ethiopia,110537,171.15,9.45
FJI,Fiji,899,108.93,56.59
FIN,Finland,5471,141.5,28.45
FRA,France,64964,174.42,16.54
GAB,Gabon,2174,109.89,54.87
GMB,Gambia,2353,68.36,91.68
GEO,Georgia,3743,174.78,19.08
DEU,Germany,82695,156.83,11.64
GHA,Ghana,30106,175.59,4.46
GRC,Greece,10634,157.42,11.92
GRD,Grenada,114,92.2,68.53
GTM,Guatemala,16578,118.6,54.33
GIN,Guinea,12430,145.47,37.8
GNB,Guinea-Bissau,1885,71.1,89.58
GUY,Guyana,795,177.59,16.65
HTI,Haiti,10780,126.6,47.01
HND,Honduras,9629,127.92,50.21
HUN,Hungary,9679,99.07,61.8
ISL,Iceland,353,170.77,7.04
IND,India,1358101,103.74,52.86
IDN,Indonesia,266686,172.16,9.84
IRN,Iran,85202,125.55,39.35
IRQ,Iraq,39650,145.96,19.19
IRL,Ireland,4843,140.73,23.85
ISR,Israel,8408,156.28,25.53
ITA,Italy,59785,159.72,15.75
JAM,Jamaica,2788,174.37,12.5
JPN,Japan,125913,111.19,47.64
JOR,Jordan,10346,150.53,15.87
KAZ,Kazakhstan,18657,194.58,7.77
KEN,Kenya,49286,109.08,54.74
KIR,Kiribati,120,150.65,21.94
KWT,Kuwait,4365,101.14,59.14
KGZ,Kyrgyzstan,6241,161.74,18.95
LAO,Laos,7020,272.62,0.63
LVA,Latvia,1901,133.36,34.66
LBN,Lebanon,5797,230.15,3.63
LSO,Lesotho,2140,111.56,45.01
LBR,Liberia,4838,130.43,26.77
LBY,Libya,6768,103.34,58.21
LTU,Lithuania,2767,160.16,19.41
LUX,Luxembourg,608,159.83,10.48
MDG,Madagascar,26962,56.04,99.09
MWI,Malawi,18176,182.79,3.45
MYS,Malaysia,32675,127.59,33.31
MDV,Maldives,474,177.08,8.17
MLI,Mali,19932,178.66,6.51
MLT,Malta,489,153.68,21.88
MHL,Marshall Islands,44,165.44,14.82
MRT,Mauritania,4248,153.21,12.91
MUS,Mauritius,1275,134.65,19.71
MEX,Mexico,123071,150.35,33.8
FSM,Micronesia (Federated States of),108,128.22,33.36
MDA,Moldova,3094,70.47,85.94
MNG,Mongolia,3126,192.91,7.88
MNE,Montenegro,606,241.49,1.64
MAR,Morocco,35374,164.62,22.09
MOZ,Mozambique,28350,111.74,53.34
MMR,Myanmar (Burma),51544,182.93,26.23
NAM,Namibia,2536,123.6,34.13
NPL,Nepal,27554,135.44,21.11
NLD,Netherlands,17302,162.31,11.19
NZL,New Zealand,4883,175.54,7.63
NIC,Nicaragua,6308,137.7,36.18
NER,Niger,21638,202.47,2.99
NGA,Nigeria,200330,116.22,51.22
MKD,North Macedonia,1888,167.49,12.75
NOR,Norway,5273,173.3,14.75
OMN,Oman,4528,150.78,9.85
PAK,Pakistan,222488,98.87,59.88
PSE,Palestinian Territories,4759,526,0
PAN,Panama,4126,156.61,25.11
PNG,Papua New Guinea,9256,125.08,35.51
PRY,Paraguay,6333,175.15,20.12
PER,Peru,31699,161.46,23.64
PHL,Philippines,107874,181.92,26.57
POL,Poland,37855,147.59,26.88
PRT,Portugal,10237,162.84,13.86
QAT,Qatar,2752,145.94,10.26
ROU,Romania,19349,153.57,23.44
RUS,Russia,144900,140.43,26.57
RWA,Rwanda,12256,151.31,34.6
WSM,Samoa,203,175.3,17.87
SAU,Saudi Arabia,29560,197.6,0.76
SEN,Senegal,15639,131.91,43.4
SRB,Serbia,6928,183.12,13.99
SYC,Seychelles,115,106.26,49.25
SLE,Sierra Leone,7405,173.12,5.09
SGP,Singapore,5611,156.72,16.34
SVK,Slovakia,5388,94.22,63.3
SVN,Slovenia,2057,119.36,42.61
SLB,Solomon Islands,700,171.4,16.32
ZAF,South Africa,57950,165.26,5.3
KOR,South Korea,51388,138.48,33.96
SSD,South Sudan,10007,140.57,21.71
ESP,Spain,46862,142.4,21.12
LKA,Sri Lanka,21998,122.26,48.89
LCA,St. Lucia,175,72.53,87.5
VCT,St. Vincent & Grenadines,103,150.49,24.18
SDN,Sudan,43422,153.95,11.11
SUR,Suriname,592,129.7,40.16
SWE,Sweden,10114,124.34,33.49
CHE,Switzerland,8460,111.17,45.59
SYR,Syria,19584,125.44,39.97
STP,São Tomé & Príncipe,206,110.36,54.49
TWN,Taiwan,23498,138.58,23.18
TJK,Tajikistan,9151,169.25,13.37
TZA,Tanzania,56218,107.85,45.11
THA,Thailand,70794,82.34,78.12
TLS,Timor-Leste,1255,219.19,0.99
TGO,Togo,8095,153.23,14.31
TON,Tonga,103,127.65,42.98
TTO,Trinidad & Tobago,1474,59.6,91.26
TUN,Tunisia,11620,164.75,10.35
TUR,Turkey,83603,145.6,18.67
TKM,Turkmenistan,6563,150.25,21.67
UGA,Uganda,40741,131.01,26.99
UKR,Ukraine,44714,99.97,58.02
ARE,United Arab Emirates,9297,125.88,30.21
GBR,United Kingdom,66201,118.18,40.15
USA,United States,332631,138.08,28.01
URY,Uruguay,3357,174.3,14.7
UZB,Uzbekistan,31893,198.45,10.89
VUT,Vanuatu,280,205.79,3.4
VEN,Venezuela,28801,117.09,51.14
VNM,Vietnam,95272,183.58,5.8
YEM,Yemen,33392,158.07,11.68
ZMB,Zambia,17625,137.05,20.4
ZWE,Zimbabwe,14694,107.95,47.94
